"","id","clee","nom_estab","raz_social","codigo_act","nombre_act","per_ocu","tipo_vial","nom_vial","tipo_v_e_1","nom_v_e_1","tipo_v_e_2","nom_v_e_2","tipo_v_e_3","nom_v_e_3","numero_ext","letra_ext","edificio","edificio_e","numero_int","letra_int","tipo_asent","nomb_asent","tipoCenCom","nom_CenCom","num_local","cod_postal","cve_ent","entidad","cve_mun","municipio","cve_loc","localidad","ageb","manzana","telefono","correoelec","www","tipoUniEco","latitud","longitud","fecha_alta"
"2639",6989087,"31080315222006061000000000U1","ALFORZA PARA GUAYABERA SIN NOMBRE","",315222,"Confección en serie de camisas","0 a 5 personas","CALLE","25","CALLE","38","CALLE","36","CALLE","29",NA,"SN","",NA,NA,"","SECTOR","SAN JUAN","","","",97680,31,"YUCATÁN       ",80,"Tekit",1,"Tekit","100",27,"","","","Fijo",20.53497928,-89.33948556,"2019-11"
"2640",6989018,"31080315222005881000000000U3","ALFORZA PARA GUAYABERAS SIN NOMBRE","",315222,"Confección en serie de camisas","0 a 5 personas","CALLE","25","CALLE","30","CALLE","28","CALLE","23",NA,"SN","",NA,NA,"","SECTOR","CENTRO","","","",97680,31,"YUCATÁN       ",80,"Tekit",1,"Tekit","100",11,"","","","Fijo",20.53415588,-89.33457657,"2019-11"
"2643",4570727,"31080315222001001000000000U2","ALFORZADO DE GUAYABERAS SIN NOMBRE","",315222,"Confección en serie de camisas","0 a 5 personas","CALLE","22","CALLE","17","CALLE","15","CALLE","20",NA,"SN","",NA,NA,"","COLONIA","MEJORADA","","","",97680,31,"YUCATÁN       ",80,"Tekit",1,"Tekit","115",9,"","","","Fijo",20.53915318,-89.33013273,"2010-07"
"2644",4570737,"31080315222001621000000000U7","ALFORZADO DE GUAYABERAS SIN NOMBRE","",315222,"Confección en serie de camisas","0 a 5 personas","CALLE","17","CALLE","24","CALLE","22","CALLE","19",NA,"SN","",NA,NA,"","COLONIA","MEJORADA","","","",97680,31,"YUCATÁN       ",80,"Tekit",1,"Tekit","115",21,"","","","Fijo",20.53812007,-89.33081379,"2010-07"
"2649",6988890,"31080315222005591000000000U8","ALFORZADO DE GUAYABERAS SIN NOMBRE","",315222,"Confección en serie de camisas","0 a 5 personas","CALLE","23","CALLE","38","CALLE","38A","CALLE","25",0,"SN","",NA,0,"","SECTOR","SAN JUAN","","","",97680,31,"YUCATÁN       ",80,"Tekit",1,"Tekit","100",35,"","","","Fijo",20.53628349,-89.34082147,"2019-11"
"2650",4570715,"31080315222001391000000000U7","ALFORZADO DE GUAYABERAZ SIN NOMBRE","",315222,"Confección en serie de camisas","0 a 5 personas","CALLE","22","CALLE","15","CALLE","13","CALLE","24",NA,"SN","",NA,NA,"","COLONIA","MEJORADA","","","",97680,31,"YUCATÁN       ",80,"Tekit",1,"Tekit","115",23,"","","","Fijo",20.54059304,-89.33006146,"2010-07"
"2656",4556387,"31080315222003821000000000U1","ALFORZADOR","",315222,"Confección en serie de camisas","0 a 5 personas","CALLE","23","CALLE","30","CALLE","32","CALLE","21",0,"SN","",NA,0,"","SECTOR","SAN MARTIN","","","",97680,31,"YUCATÁN       ",80,"Tekit",1,"Tekit","100",9,"9971051359","","","Fijo",20.53533885,-89.33486301,"2014-12"
"2659",4556560,"31080315222003511000000000U8","ALFORZADOR DE GUAYABERA SIN NOMBRE","",315222,"Confección en serie de camisas","0 a 5 personas","CALLE","29","CALLE","32A","CALLE","34","CALLE","31",NA,"SN","",NA,NA,"","SECTOR","SAN JUAN","","","",97680,31,"YUCATÁN       ",80,"Tekit",1,"Tekit","100",16,"","","","Fijo",20.53306915,-89.33799048,"2014-12"
"2661",4570772,"31080315222000291000000000U0","ALFORZADOR DE GUAYABERAS SIN NOMBRE","",315222,"Confección en serie de camisas","0 a 5 personas","CALLE","24","CALLE","23","CALLE","21","CALLE","22",0,"SN","",NA,0,"","SECTOR","CENTRO","","","",97680,31,"YUCATÁN       ",80,"Tekit",1,"Tekit","115",18,"","","","Fijo",20.53558914,-89.33180508,"2010-07"
"2662",4570782,"31080315222000891000000000U7","ALFORZADOR DE GUAYABERAS SIN NOMBRE","",315222,"Confección en serie de camisas","0 a 5 personas","CALLE","22","CALLE","21","CALLE","23","CALLE","20",186,"","",NA,0,"","SECTOR","SAN CRISTOBAL","","","",97680,31,"YUCATÁN       ",80,"Tekit",1,"Tekit","115",6,"9971214827","","","Fijo",20.5352366,-89.33085458,"2010-07"
