"","denue_2021_merida$nombre_act"
"1","Piscicultura y otra acuicultura, excepto camaronicultura"
"2","Pesca y captura de peces, crustáceos, moluscos y otras especies"
"7","Beneficio de productos agrícolas"
"10","Servicios de fumigación agrícola"
"16","Pesca de camarón"
"19","Pesca de sardina y anchoveta"
"38","Servicios relacionados con la cría y explotación de animales"
"99","Camaronicultura"
"152","Otros servicios relacionados con la agricultura"
"177","Pesca de túnidos"
"1285","Servicios relacionados con el aprovechamiento forestal"
"1300","Minería de piedra caliza"
"1301","Minería de sal"
"1302","Minería de arena y grava para la construcción"
"1303","Minería de otras piedras dimensionadas"
"1339","Generación de electricidad a partir de combustibles fósiles"
"1341","Captación, tratamiento y suministro de agua realizados por el sector público"
"1345","Transmisión de energía eléctrica"
"1364","Comercialización de energía eléctrica"
"1410","Distribución de energía eléctrica"
"1417","Generación de electricidad a partir de energía solar"
"1561","Edificación de vivienda unifamiliar"
"1563","Edificación de inmuebles comerciales y de servicios, excepto la supervisión"
"1564","Otros trabajos en exteriores"
"1565","Trabajos de enyesado, empastado y tiroleado"
"1566","Construcción de obras para telecomunicaciones"
"1567","Construcción de obras para el tratamiento, distribución y suministro de agua y drenaje"
"1568","Trabajos de albañilería"
"1569","Otros trabajos de acabados en edificaciones"
"1571","Edificación de naves y plantas industriales, excepto la supervisión"
"1575","Construcción de carreteras, puentes y similares"
"1576","Construcción de obras de urbanización"
"1577","Otras instalaciones y equipamiento en construcciones"
"1578","Instalaciones de sistemas centrales de aire acondicionado y calefacción"
"1580","Construcción de obras de generación y conducción de energía eléctrica"
"1582","Construcción de obras marítimas, fluviales y subacuáticas"
"1590","Edificación de vivienda multifamiliar"
"1593","Instalaciones eléctricas en construcciones"
"1595","Colocación de muros falsos y aislamiento"
"1601","Supervisión de edificación residencial"
"1618","Otros trabajos especializados para la construcción"
"1647","Preparación de terrenos para la construcción"
"1671","Instalaciones hidrosanitarias y de gas"
"1678","Trabajos de pintura y otros cubrimientos de paredes"
"1717","Construcción de obras para transporte eléctrico y ferroviario"
"1719","Construcción de sistemas de distribución de petróleo y gas"
"1756","Colocación de pisos cerámicos y azulejos"
"1764","Supervisión de división de terrenos y de construcción de obras de urbanización"
"1829","Montaje de estructuras de acero prefabricadas"
"1852","Construcción de sistemas de riego agrícola"
"1895","División de terrenos"
"1961","Construcción de presas y represas"
"2053","Trabajos de cimentaciones"
"2093","Supervisión de construcción de obras de generación y conducción de energía eléctrica y de obras para telecomunicaciones"
"2145","Otras construcciones de ingeniería civil"
"2442","Supervisión de edificación de inmuebles comerciales y de servicios"
"2485","Supervisión de construcción de obras para petróleo y gas"
"2517","Fabricación de bolsos de mano, maletas y similares"
"2518","Panificación industrial"
"2519","Elaboración de tortillas de maíz y molienda de nixtamal"
"2520","Panificación tradicional"
"2522","Matanza de ganado, aves y otros animales comestibles"
"2524","Confección, bordado y deshilado de productos textiles"
"2525","Confección de prendas de vestir sobre medida"
"2526","Acabado de productos textiles"
"2527","Confección en serie de disfraces y trajes típicos"
"2530","Curtido y acabado de cuero y piel"
"2531","Elaboración de aceites y grasas vegetales comestibles"
"2535","Elaboración de cerveza"
"2536","Elaboración de alimentos para animales"
"2537","Conservación de guisos y otros alimentos preparados por procesos distintos a la congelación"
"2539","Purificación y embotellado de agua"
"2553","Elaboración de chocolate y productos de chocolate"
"2631","Fabricación de redes y otros productos de cordelería"
"2632","Confección en serie de otra ropa exterior de materiales textiles"
"2633","Confección de cortinas, blancos y similares"
"2637","Confección en serie de uniformes"
"2639","Confección en serie de camisas"
"2641","Confección de otros accesorios y prendas de vestir no clasificados en otra parte"
"2682","Elaboración de helados y paletas"
"2684","Elaboración de condimentos y aderezos"
"2686","Elaboración de botanas"
"2687","Corte y empacado de carne de ganado, aves y otros animales comestibles"
"2690","Preparación y envasado de pescados y mariscos"
"2694","Elaboración de leche líquida"
"2699","Fabricación de calzado de plástico"
"2700","Preparación e hilado de fibras duras naturales"
"2703","Elaboración de otros alimentos"
"2961","Fabricación de ropa exterior de tejido de punto"
"3293","Elaboración de concentrados, polvos, jarabes y esencias de sabor para bebidas"
"3307","Fabricación de otros productos de cuero, piel y materiales sucedáneos"
"3324","Fabricación de telas angostas de tejido de trama y pasamanería"
"3358","Elaboración de derivados y fermentos lácteos"
"3363","Fabricación de calzado con corte de piel y cuero"
"3371","Confección en serie de ropa interior y de dormir"
"3374","Fabricación de calzado con corte de tela"
"3381","Elaboración de galletas y pastas para sopa"
"3382","Elaboración de otras bebidas destiladas"
"3388","Elaboración de refrescos y otras bebidas no alcohólicas"
"3392","Confección de productos de textiles recubiertos y de materiales sucedáneos"
"3400","Fabricación de hilos para coser y bordar"
"3421","Preparación de embutidos y otras conservas de carne de ganado, aves y otros animales comestibles"
"3435","Fabricación de huaraches y calzado de otro tipo de materiales"
"3436","Elaboración de harina de maíz"
"3444","Elaboración de bebidas destiladas de agave"
"3455","Confección de sombreros y gorras"
"3871","Fabricación de ropa interior de tejido de punto"
"7271","Elaboración de harina de trigo"
"7277","Elaboración de café instantáneo"
"7278","Elaboración de puros y otros productos de tabaco"
"7340","Elaboración de ron y otras bebidas destiladas de caña"
"7410","Elaboración de manteca y otras grasas animales comestibles"
"7447","Elaboración de harina de otros productos agrícolas"
"7456","Confección de costales"
"7845","Conservación de frutas y verduras por procesos distintos a la congelación y la deshidratación"
"8686","Elaboración de bebidas alcohólicas a base de uva"
"8719","Elaboración de alimentos frescos para consumo inmediato"
"8728","Elaboración de dulces, chicles y productos de confitería que no sean de chocolate"
"9591","Fabricación de calzado de hule"
"11570","Fabricación de banderas y otros productos textiles no clasificados en otra parte"
"11577","Fabricación de telas de tejido de punto"
"11585","Elaboración de tortillas de harina de trigo de forma tradicional"
"12041","Elaboración de hielo"
"12384","Fabricación de telas anchas de tejido de trama"
"12407","Preparación e hilado de fibras blandas naturales"
"14469","Elaboración de cereales para el desayuno"
"14490","Fabricación de telas recubiertas"
"18664","Confección de prendas de vestir de cuero, piel y de materiales sucedáneos"
"25512","Impresión de formas continuas y otros impresos"
"25513","Fabricación de otros productos de vidrio"
"25516","Fabricación de fertilizantes"
"25517","Fabricación de otros productos a base de minerales no metálicos"
"25518","Fabricación de productos de madera para la construcción"
"25520","Fabricación de adhesivos"
"25521","Fabricación de tubería y conexiones, y tubos para embalaje"
"25525","Fabricación de preparaciones farmacéuticas"
"25526","Fabricación de otros productos químicos básicos orgánicos"
"25527","Fabricación de jabones, limpiadores y dentífricos"
"25528","Fabricación de artículos de alfarería, porcelana y loza"
"25544","Fabricación de otros productos de cemento y concreto"
"25548","Fabricación de productos a base de piedras de cantera"
"25550","Aserrado de tablas y tablones"
"25553","Fabricación de artículos y utensilios de madera para el hogar"
"25555","Fabricación de otros productos de madera"
"25563","Fabricación de productos de madera de uso industrial"
"25586","Fabricación de productos de materiales trenzables, excepto palma"
"25590","Fabricación de productos de plástico para el hogar con y sin reforzamiento"
"25595","Fabricación de yeso y productos de yeso"
"25628","Fabricación de productos para embalaje y envases de madera"
"25634","Fabricación de productos de asfalto"
"25636","Fabricación de otros productos de plástico sin reforzamiento"
"25637","Fabricación de concreto"
"25638","Fabricación de espumas y productos de poliestireno"
"25639","Fabricación de tubos y bloques de cemento y concreto"
"25640","Fabricación de productos preesforzados de concreto"
"25647","Fabricación de envases y contenedores de plástico para embalaje con y sin reforzamiento"
"25653","Fabricación de artículos de vidrio de uso doméstico"
"25657","Fabricación de resinas de plásticos reciclados"
"25661","Fabricación de cemento y productos a base de cemento en plantas integradas"
"25663","Impresión de libros, periódicos y revistas"
"25664","Fabricación de otros productos de plástico de uso industrial sin reforzamiento"
"25667","Fabricación de bolsas y películas de plástico flexible"
"25668","Fabricación de envases de cartón"
"25670","Fabricación de otros productos químicos básicos inorgánicos"
"26099","Fabricación de productos de papelería"
"26101","Industrias conexas a la impresión"
"26122","Fabricación de aceites y grasas lubricantes"
"26130","Fabricación de laminados de plástico rígido"
"26133","Fabricación de cosméticos, perfumes y otras preparaciones de tocador"
"26135","Fabricación de otros productos de cartón y papel"
"26144","Fabricación de gases industriales"
"26164","Fabricación de otros productos de hule"
"26167","Fabricación de pinturas y recubrimientos"
"26176","Fabricación de otros productos de plástico con reforzamiento"
"26394","Fabricación de otros productos químicos"
"26407","Fabricación de bolsas de papel y productos celulósicos recubiertos y tratados"
"26427","Fabricación de cartón en plantas integradas"
"26506","Fabricación de bandas y mangueras de hule y de plástico"
"26518","Fabricación de vidrio"
"26530","Fabricación de pañales desechables y productos sanitarios"
"26533","Fabricación de papel a partir de pulpa"
"26694","Fabricación de botellas de plástico"
"26739","Fabricación de ladrillos no refractarios"
