"","municipio","per_ocu","count","perc"
"1","Abalá","0 a 5 personas",83,0.864583333333333
"2","Abalá","11 a 30 personas",4,0.0416666666666667
"3","Abalá","31 a 50 personas",1,0.0104166666666667
"4","Abalá","51 a 100 personas",1,0.0104166666666667
"5","Abalá","6 a 10 personas",7,0.0729166666666667
"6","Acanceh","0 a 5 personas",524,0.891156462585034
"7","Acanceh","101 a 250 personas",2,0.00340136054421769
"8","Acanceh","11 a 30 personas",23,0.0391156462585034
"9","Acanceh","251 y más personas",1,0.00170068027210884
"10","Acanceh","31 a 50 personas",3,0.00510204081632653
"11","Acanceh","6 a 10 personas",35,0.0595238095238095
"12","Akil","0 a 5 personas",1343,0.953835227272727
"13","Akil","11 a 30 personas",17,0.0120738636363636
"14","Akil","31 a 50 personas",1,0.000710227272727273
"15","Akil","51 a 100 personas",2,0.00142045454545455
"16","Akil","6 a 10 personas",45,0.0319602272727273
"17","Baca","0 a 5 personas",279,0.908794788273616
"18","Baca","101 a 250 personas",1,0.00325732899022801
"19","Baca","11 a 30 personas",5,0.0162866449511401
"20","Baca","251 y más personas",2,0.00651465798045603
"21","Baca","31 a 50 personas",4,0.0130293159609121
"22","Baca","6 a 10 personas",16,0.0521172638436482
"23","Bokobá","0 a 5 personas",153,0.932926829268293
"24","Bokobá","11 a 30 personas",5,0.0304878048780488
"25","Bokobá","251 y más personas",1,0.00609756097560976
"26","Bokobá","6 a 10 personas",5,0.0304878048780488
"27","Buctzotz","0 a 5 personas",532,0.933333333333333
"28","Buctzotz","11 a 30 personas",19,0.0333333333333333
"29","Buctzotz","31 a 50 personas",2,0.00350877192982456
"30","Buctzotz","6 a 10 personas",17,0.0298245614035088
"31","Cacalchén","0 a 5 personas",443,0.926778242677824
"32","Cacalchén","11 a 30 personas",9,0.0188284518828452
"33","Cacalchén","31 a 50 personas",3,0.00627615062761506
"34","Cacalchén","51 a 100 personas",1,0.00209205020920502
"35","Cacalchén","6 a 10 personas",22,0.0460251046025105
"36","Calotmul","0 a 5 personas",155,0.870786516853933
"37","Calotmul","11 a 30 personas",11,0.0617977528089888
"38","Calotmul","31 a 50 personas",2,0.0112359550561798
"39","Calotmul","6 a 10 personas",10,0.0561797752808989
"40","Cansahcab","0 a 5 personas",237,0.911538461538462
"41","Cansahcab","101 a 250 personas",1,0.00384615384615385
"42","Cansahcab","11 a 30 personas",6,0.0230769230769231
"43","Cansahcab","31 a 50 personas",2,0.00769230769230769
"44","Cansahcab","6 a 10 personas",14,0.0538461538461538
"45","Cantamayec","0 a 5 personas",260,0.935251798561151
"46","Cantamayec","11 a 30 personas",9,0.0323741007194245
"47","Cantamayec","51 a 100 personas",1,0.00359712230215827
"48","Cantamayec","6 a 10 personas",8,0.0287769784172662
"49","Celestún","0 a 5 personas",673,0.813784764207981
"50","Celestún","11 a 30 personas",68,0.0822249093107618
"51","Celestún","251 y más personas",2,0.00241837968561064
"52","Celestún","31 a 50 personas",16,0.0193470374848851
"53","Celestún","51 a 100 personas",7,0.00846432889963724
"54","Celestún","6 a 10 personas",61,0.0737605804111245
"55","Cenotillo","0 a 5 personas",314,0.93452380952381
"56","Cenotillo","11 a 30 personas",8,0.0238095238095238
"57","Cenotillo","31 a 50 personas",1,0.00297619047619048
"58","Cenotillo","6 a 10 personas",13,0.0386904761904762
"59","Chacsinkín","0 a 5 personas",527,0.963436928702011
"60","Chacsinkín","11 a 30 personas",5,0.00914076782449726
"61","Chacsinkín","31 a 50 personas",1,0.00182815356489945
"62","Chacsinkín","6 a 10 personas",14,0.0255941499085923
"63","Chankom","0 a 5 personas",82,0.911111111111111
"64","Chankom","11 a 30 personas",1,0.0111111111111111
"65","Chankom","51 a 100 personas",1,0.0111111111111111
"66","Chankom","6 a 10 personas",6,0.0666666666666667
"67","Chapab","0 a 5 personas",155,0.917159763313609
"68","Chapab","11 a 30 personas",6,0.0355029585798817
"69","Chapab","51 a 100 personas",1,0.00591715976331361
"70","Chapab","6 a 10 personas",7,0.0414201183431953
"71","Chemax","0 a 5 personas",1134,0.952941176470588
"72","Chemax","101 a 250 personas",2,0.00168067226890756
"73","Chemax","11 a 30 personas",24,0.0201680672268908
"74","Chemax","31 a 50 personas",1,0.000840336134453782
"75","Chemax","51 a 100 personas",3,0.00252100840336134
"76","Chemax","6 a 10 personas",26,0.0218487394957983
"77","Chichimilá","0 a 5 personas",268,0.937062937062937
"78","Chichimilá","101 a 250 personas",1,0.0034965034965035
"79","Chichimilá","11 a 30 personas",5,0.0174825174825175
"80","Chichimilá","31 a 50 personas",2,0.00699300699300699
"81","Chichimilá","6 a 10 personas",10,0.034965034965035
"82","Chicxulub Pueblo","0 a 5 personas",251,0.936567164179104
"83","Chicxulub Pueblo","101 a 250 personas",1,0.00373134328358209
"84","Chicxulub Pueblo","11 a 30 personas",5,0.0186567164179104
"85","Chicxulub Pueblo","31 a 50 personas",1,0.00373134328358209
"86","Chicxulub Pueblo","6 a 10 personas",10,0.0373134328358209
"87","Chikindzonot","0 a 5 personas",405,0.961995249406176
"88","Chikindzonot","101 a 250 personas",1,0.00237529691211401
"89","Chikindzonot","11 a 30 personas",5,0.0118764845605701
"90","Chikindzonot","6 a 10 personas",10,0.0237529691211401
"91","Chocholá","0 a 5 personas",324,0.902506963788301
"92","Chocholá","101 a 250 personas",1,0.00278551532033426
"93","Chocholá","11 a 30 personas",12,0.0334261838440111
"94","Chocholá","31 a 50 personas",5,0.0139275766016713
"95","Chocholá","6 a 10 personas",17,0.0473537604456825
"96","Chumayel","0 a 5 personas",754,0.96790757381258
"97","Chumayel","11 a 30 personas",8,0.0102695763799743
"98","Chumayel","31 a 50 personas",1,0.00128369704749679
"99","Chumayel","51 a 100 personas",1,0.00128369704749679
"100","Chumayel","6 a 10 personas",15,0.0192554557124519
"101","Conkal","0 a 5 personas",496,0.876325088339223
"102","Conkal","101 a 250 personas",1,0.00176678445229682
"103","Conkal","11 a 30 personas",24,0.0424028268551237
"104","Conkal","31 a 50 personas",4,0.00706713780918728
"105","Conkal","51 a 100 personas",2,0.00353356890459364
"106","Conkal","6 a 10 personas",39,0.068904593639576
"107","Cuncunul","0 a 5 personas",84,0.875
"108","Cuncunul","11 a 30 personas",5,0.0520833333333333
"109","Cuncunul","31 a 50 personas",1,0.0104166666666667
"110","Cuncunul","6 a 10 personas",6,0.0625
"111","Cuzamá","0 a 5 personas",164,0.881720430107527
"112","Cuzamá","11 a 30 personas",7,0.0376344086021505
"113","Cuzamá","6 a 10 personas",15,0.0806451612903226
"114","Dzán","0 a 5 personas",576,0.932038834951456
"115","Dzán","11 a 30 personas",11,0.0177993527508091
"116","Dzán","31 a 50 personas",4,0.00647249190938511
"117","Dzán","6 a 10 personas",27,0.0436893203883495
"118","Dzemul","0 a 5 personas",173,0.905759162303665
"119","Dzemul","101 a 250 personas",1,0.00523560209424084
"120","Dzemul","11 a 30 personas",6,0.031413612565445
"121","Dzemul","6 a 10 personas",11,0.0575916230366492
"122","Dzidzantún","0 a 5 personas",486,0.875675675675676
"123","Dzidzantún","11 a 30 personas",21,0.0378378378378378
"124","Dzidzantún","31 a 50 personas",6,0.0108108108108108
"125","Dzidzantún","51 a 100 personas",2,0.0036036036036036
"126","Dzidzantún","6 a 10 personas",40,0.0720720720720721
"127","Dzilam de Bravo","0 a 5 personas",309,0.790281329923274
"128","Dzilam de Bravo","101 a 250 personas",8,0.020460358056266
"129","Dzilam de Bravo","11 a 30 personas",34,0.0869565217391304
"130","Dzilam de Bravo","31 a 50 personas",4,0.010230179028133
"131","Dzilam de Bravo","51 a 100 personas",6,0.0153452685421995
"132","Dzilam de Bravo","6 a 10 personas",30,0.0767263427109974
"133","Dzilam González","0 a 5 personas",343,0.905013192612137
"134","Dzilam González","11 a 30 personas",12,0.0316622691292876
"135","Dzilam González","31 a 50 personas",3,0.0079155672823219
"136","Dzilam González","6 a 10 personas",21,0.0554089709762533
"137","Dzitás","0 a 5 personas",341,0.963276836158192
"138","Dzitás","11 a 30 personas",8,0.0225988700564972
"139","Dzitás","6 a 10 personas",5,0.0141242937853107
"140","Dzoncauich","0 a 5 personas",132,0.904109589041096
"141","Dzoncauich","11 a 30 personas",3,0.0205479452054795
"142","Dzoncauich","51 a 100 personas",1,0.00684931506849315
"143","Dzoncauich","6 a 10 personas",10,0.0684931506849315
"144","Espita","0 a 5 personas",1252,0.957186544342508
"145","Espita","101 a 250 personas",1,0.000764525993883792
"146","Espita","11 a 30 personas",21,0.0160550458715596
"147","Espita","31 a 50 personas",6,0.00458715596330275
"148","Espita","6 a 10 personas",28,0.0214067278287462
"149","Halachó","0 a 5 personas",1196,0.938039215686274
"150","Halachó","101 a 250 personas",1,0.000784313725490196
